"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30","TF31","TF32","TF33","TF34","TF35","TF36","TF37","TF38","TF39","TF40","TF41","TF42","TF43","TF44","TF45","TF46","TF47","TF48","TF49","TF50","TF51","TF52","TF53","TF54","TF55","TF56","TF57","TF58","TF59","TF60","TF61","TF62","TF63","TF64","TF65","TF66","TF67","TF68","TF69","TF70","TF71","TF72","TF73","TF74","TF75","TF76","TF77","TF78","TF79","TF80","TF81","TF82","TF83","TF84","TF85","TF86","TF87","TF88","TF89","TF90","TF91","TF92","TF93","TF94","TF95","TF96","TF97","TF98","TF99","TF100"
"TF11",0,0,0,-0.447758,0,0,0.254161,0,0,0,-1,0.169792,0,0.214266,-0.246321,0,0,0,0,0,0,0.324007,0,0.121659,0,0,0,0,0,0,0,0,-0.206713,0,0,0,0,0,0,0,-0.20284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20958,0,0,0.196155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120622,0,0.189064,0,0,-0.332622,0,0,0,0,0,0,0,0,0,-0.275664,0,0,0,-0.162778
"TF12",0,-0.243636,0,0,0.226087,0,0,0,0,0.118291,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220697,0,0,0,0,0,0,0,0,-0.194747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213256,0,0,0,0,0.139598,-0.240864,0,0,-0.223739,0,0,0,0.125814,0,0,0,0,0,0,0,0,0,-0.155835,0,0,0,0,0.227127,0.221646,0,0,0,-0.152095,0
"TF13",0,0,0,-0.267517,0,0,0,0,0,0,0,0,-1,0,-0.153917,0,0,0.27556,0,0,0,0,0,0.149435,0,0.141165,0,0,0,0,-0.17907,0,0,0,0,0,0,0,-0.248221,0,0,0,0,0,0,0,0,0,0,0,0,0.388161,-0.295516,0,0,0,0.276237,0,0,0,0,0.173512,0,0,0,0,0,-0.122789,0,0,0,0,0,0.143011,0,0,0,0,0,-0.193903,0,0.376375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF14",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.120247,0,0,0,0,0,0,0,0,0,0.241172,0.317641,0.19933,0,0,0,0.16089,0,0,0,0,0,0,0,0.121703,0.13668,0,0,0,0,0,0,0.12476,0,0,0,0,0,0,-0.170023,0,0,0,0,0,0,0,0,0,0,0,0,0.171532,0.218141,0,-0.226826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240215
"TF15",-0.125593,0,0,0,0.141534,-0.134733,0,0,0,-0.155213,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169846,0,0,0,0,0,-0.241287,0,0,0,0,0,0,0,-0.18507,0,0,0,0,0,0.166042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180985,0,0,0,0,0,0,0,0,0,0,0,0.146797,0,0,0,0,-0.295264,0,0,0,0,0,0,0,0,0,0,0.274989,0,-0.151347,-0.145701,0
"TF16",0,0,0,0,0,0,0,-0.119282,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.207408,0,0,0,0,0,0,0,0.230713,0,0,0,0,0,0,0.285254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368599,0,0,0.144925,-0.257537,0,0,0,0,0,0,0,-0.351388,0,0,0,0.154916,0.142985,0,0,0,0,0.266855,-0.209041,0,0.294509,0,-0.234202,0.190242,0,0,0,0,0,0,0,0,0,0,0,0.148316,0,0
"TF17",0,0,0,0,0.337124,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0.25573,0,0,0,0,0,0,0,-0.348657,0,0,0,0,0,0,0,0,0,0,0,-0.162106,0,0,0,-0.195934,0,0,0,-0.229524,-0.21055,0,0,0,0,0,0,0,0,0,0,0.381473,-0.157855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228444,0,0,0,0,0.303392,0,0,0,0,-0.202883,0.303668,0,0,0,0,0,0.139978
"TF18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125808,-1,0,0.232396,0,0,0,0,0,0.238694,0,0,0,0,-0.12977,-0.160635,0,0.385977,0,0,0.132866,0.176982,0,0,0,0,-0.125518,0,0,0,-0.244606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139277,0,0,0,0,0,0,0,0,0,0,0,0,-0.197551,0,0,0,0.170434,0,0,0,-0.214388
"TF19",0,0,0,-0.180867,0,0,0,0,0,0,0,0,0.224387,0,-0.198498,0,0,0,-1,0,0,0,0,-0.191034,0,0.164014,0,0,0,0,0,0,0.182132,0,0,0,0,0,0.298973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187138,0,0,0,0,0.285225,0,0,-0.292451,0,0.167946,0,0,-0.212769,0,0,0,-0.179546,0,0,0,0,0.164966,0,0,0,0,0,0,-0.301222,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF20",0,0,0,0,0,0.16701,0,0,0,0,0,0,0,0,0.167929,0,0,0,0,-1,0,0,0,0,0,0,0.235264,0,0.156097,0,0,0,0,0,0,0,0,0,0,0,-0.153806,0,-0.304815,0,0.46407,0,0,0,0,0,0,0,0,0,0,0,-0.184941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136659,0,0,0,0,0,0,0,0,0,0,0,0.272218,0,0,0,0,0,0,0,0,-0.223031,0,0,0,0,0,0,0.182951,0
"TF21",0,0,0,0,0,0,0,0,0,0,0,-0.206151,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125078,0,-0.182659,0,0,0,0,0,0,0,0,0,0,-0.317294,0,0.246491,0,0,-0.333333,0,0,0,0,0.202035,0,-0.172935,0,0,0,0,0.240612,0,0,0,0,0,0,0,0,0,0,0,-0.148347,-0.249438,-0.138278,0.131824,0,0,-0.150745,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF22",0,0,0,0.169977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-0.260512,0,0,0,0,0,0,0,-0.352539,0,0,0,0,0,0,0.205356,0,0.124401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229353,0.144069,0,0,0,-0.285236,0,0,0.128244,0,0,0,0,0,0,0,0,0,-0.141975,0,0,0,0,0,0,0,-0.163428,0.116581,0,-0.250873,-0.148531,0,0,0,0,0
"TF23",0,0,0,0,0,0,0,0,0,0,0,0.285104,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.129955,0,0,0.214704,0,0,0,0,0,0,0,0.131796,0,0,0,0,0,0,0,0,0,-0.220032,0,0,-0.133758,0,0,0,0.265252,0,-0.226066,0,0,0,0,0,0,0,0.186321,0,0,0.265175,0.133139,-0.142821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150609,0,0,-0.300133,-0.316483,0,0,0,0,0,0
"TF24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208759,0,0,0,0,0,0.208819,0,-0.31272,-1,0,0,0,0.184808,-0.128876,0,0,0,0,0,0,0,0,0.138279,0,0,0,0,0,0,0,-0.159439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201929,0.27657,0,0,0,0,0,0,0,0,0,-0.204353,0,0,0,0,0,0.247974,0.291864,0,0,0,0,0,0,0,0,0,-0.172569,0,0,0,0,0,-0.160345,0,0,-0.175746,0
"TF25",0,0,0,0,0,0,0,-0.241285,-0.199224,0,0,0,0,0,0,0,0,0.117563,0,0,0,0,0,0,-1,0,0.160243,0,0.161312,0.272464,0,0,0,0,-0.240656,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200478,0,0,0,0,0,0,-0.219172,0,0.125433,0,0,0,0,0,0,0,0,0,-0.202475,0,0,-0.280581,0,0,0,0,0,0.25508,0,0,0,0,0,0,0,0.171895,0,0,0,0,0.15286,0,0,0,0,0,0,0,0,0,0
"TF26",0,0,0,0,0,0,0,0,0,0,0,0.472028,0,0,0,0,-0.162886,0,-0.315638,0,0,0,0,0,0,-1,0,0,0,0.172081,0,0,0,0,0,0,-0.185763,0,0,0,0,0,0,0,0,0.142793,0,0,0,0,0,0.133774,0,0,0,0,0,0.160756,0,0,0,0,0,0,0,0,0,0,0,-0.140104,0,0.225019,0,-0.320945,0,-0.14673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135852,0,0,0,-0.247923,0,0,0,0,0
"TF27",0,0,0,0,0,0,0,0,0,0,0.120599,0,0,0,0,0,0,0,0,-0.181978,0,0,0,0,0,0,-1,0,0.135701,0,0,0,0,0,0.126889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135401,0,0,0,0,0,0.194869,0,0,0,0,-0.192997,0,0.216974,0,0,0,0,0,0,0.253493,0.16921,0.129327,0,0,-0.31586,0,0,-0.165264,0,0,0,0,-0.253645,-0.159755,0,0,0
"TF28",0,0,0,0,0,0,-0.294332,0,0,0,0,0,0.152276,0.228399,0,0,0,0,0,0.212661,0,0,0,0,0,0,0,-1,0,0,-0.170627,0,0,0,0,0,0,0,0,0,0.164461,0,0,0,0,0,0,0.155783,0,0,-0.312985,0,0,0,0.135201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141545,0,0.26177,0,0,0,0,0,0,0,0,0,-0.147371,-0.156546,0,0,0.115278,0,0,0,0,0,-0.234087,0,0,0
"TF29",0,0,0,-0.186456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327368,0,0,0,0,0,0,0,0,-0.382776,0,-1,0,0,0.16737,0,0,0,-0.268823,0,0,0,0,0,0,-0.18631,0,0,0,0,0,0,-0.158804,0,0,0,0.234687,0,0,0,0,0,0,0,0,0.24709,0,0,0,0,-0.122526,0,0,0,0,0,0,0,0,0,-0.212804,0,0,0,0,0,0.134903,-0.149797,-0.117616,0,0,0,0,0.25572,0,0,0,0.344759,0,0,0,0,0
"TF30",0,0,0,0,0,0,0,-0.19008,-0.195903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124644,0,0,-0.220315,0,-1,0,-0.149193,0.134817,0,0,0,0,0,0,0,0,0,0,0.133585,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369257,-0.160003,0,0,0,0,0,0,-0.208654,0,0,0.144924,0,-0.224255,0,-0.119432,0,0,0,0,0,0,0,0,0,0,0,0,0.115779,0,0,0,0,0,0,0,0,0,0,0,0,-0.15159,0
"TF31",0,0,0.14909,-0.331162,0,0,0,0.300538,0,0,0,0.186211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280232,0.251497,0,-1,-0.129377,0,0,0.132196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166812,0.156114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176109,0,0,0
"TF32",0,0.124532,0.199052,0,0,0,0,0,-0.199397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286398,0,0,0,-1,0,0,0,0,0.161431,0,0,0,0,-0.229605,0,0,0,0,0,0,0,-0.219859,0,-0.127602,0,0,0,-0.330032,0,0,0,0,0,0,0.273644,0,0,0,0,0,0,0,0,0,0,0,0,-0.160393,0,0,0,0,0,0,0,0,0.134467,0,0,0,0.308307,0,0,0,0,0,0.477777,0,0,0,0,0
"TF33",0,0,0,0,0,-0.237768,0.229183,0,0,0,0,0,0,0.155227,0,0,0,0,0,0,0.206099,0,0,0,0,-0.124849,0.335232,0,0,0,0,0,-1,0,0,0,0,0,-0.154759,0,0,0,0,0,0,0,0,0,0.137662,0.39145,0,-0.143082,-0.125073,0,0,0,0,0,0,0,0,-0.245641,0,0,0,0,0,0,0.161604,0,0,0,0,0.18661,0,0,0,0,0,0,0,-0.284278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TF34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186647,0,0,0,0,0,0,0,0,0,0.29676,0,0,-1,0,0,0,0,0,0,0.211197,0,0,0,0,0,0,-0.165194,0,0,0,0,0.261124,0,0,0,0,0,0,0,0,0,-0.221142,0,0,0,0.120526,0,0,0,0,0,0,0,-0.215574,0.264128,0,0,-0.141916,0.136584,0,0.180105,0,0,0,0,0,-0.169625,0,0,0,0,0,0,0,0,-0.182391,0,0.1959,0
"TF35",0.214699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259691,0,0,-0.173842,0.155273,0,0,0.201483,0,0,0,0,0.347237,0.15976,0,0,0,0,-1,0,0,0,0,0.138409,0,-0.129328,0,0,0,0,0,0,0,0,0,0,0,0,-0.183584,0,0,-0.114579,0,0,0,0,0,-0.281116,0.119359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271309,0,0,0.385869,0,0,0,0,0,0
"TF36",0,0,0,0.154761,0,0,0,0,0,0,0.224865,0,0,0,0.330242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114834,0,-1,0,0,0,0,0,0.155234,0,0,0,0,0,0,0,0,0,0,0,-0.364273,0,0,0,0,0,0,0,0,0,-0.187021,0,0,0.129892,0,0,0,0,0,0,0,0,0.188262,0.13489,0,0,0,0,0.122322,0,0.135547,0,0,0,0,0,0.265142,0,0,0,0.164537,0,0,0,-0.318073,0,0
"TF37",0,0,-0.145999,0,0,0,0.257967,0.302513,-0.134499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305044,0.179443,0,0.192183,0,0,0,0,0,-1,0,0,0,-0.132601,0,0,0,0,-0.348397,-0.207202,0,0,0,0,0,0,0,0,0,0,0,0.162828,0,0,0,0,0,0,-0.142671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152076,0,0,0
"TF38",0,0,0,0,-0.333003,0,0,0,0,0,0,0,0,0,0,0.186509,0,0,0,0,0,0,-0.133565,0,0.226517,0,0,0,0.188228,0,0,0,0,-0.114753,0,0,0,-1,0,0,0,0,0,-0.114909,0.229298,-0.378901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195021,0,0,0,0,0,0,0.273792,0,0,0,-0.173131,0,0,0,0,0,-0.202951,0,-0.305893,0,0,0.122075,0,0,0,0,0,0,0,0,0,0,0,-0.140618,0,0,0,0,0
"TF39",-0.191581,0,-0.139491,0,-0.23409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224308,0,0.288002,0,0,0,0,0,0,0,0,0,0,0,-0.161213,0,0,0,0.191078,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157147,0,0,0,0,0,0,0,0,0,0,0,-0.147466,-0.254195,0,0,0,0,0,0,-0.293588,0.155359,0,0,0,0,0,0,0,0,0,0,0,0,0.130637,0
"TF40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195512,0,-0.165909,0,0,0,-0.262407,0,0,0,0.120279,0.188459,0,0,0,0,0,0,-0.133486,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-0.197984,0,0,0,-0.183134,-0.134616,0,0,0.133657,0,0,0,0,0,0,0,0,-0.38622,0,0,-0.247237,0,0,0,0,-0.120906,0,0,0,0,0,0,0,0.117397,0,0,0,0,0,0,-0.171541,0,0,0,0,0,0,0
"TF41",0.263892,0,0.165246,0,0,0,0,0,0,0,-0.138342,0,0,0.16335,-0.138245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234182,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267886,0,0,0,0,0,0,0,0,-0.211703,0,0,0,0,0,0,0,0,0,-0.312431,0.218513,0,0,0,0,0,0,0,0.231816,0,0,0.142718,-0.238249,0,0,0,0,0,-0.197217,0.154706,0,0,0,0,0,-0.221501
"TF42",0,0,0,-0.278801,0,0,0,0.165898,0,0,0,0,0,0,0.138739,0,0,0,0,0,0,0,0,-0.175893,0,0,0,0,-0.198769,-0.156231,0,0,0,0,0,0,-0.24033,0,0,-0.2908,0,-1,0,0,0,0,0.131859,0.315248,0,0,0,-0.289515,0.196244,0,0,0,0,0,-0.151984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162462,0,0,0,0,0,0,0,0,-0.164358,0,0,0,0,0,0,0,0,0.28727,0,0,0,0
"TF43",-0.213949,0,0.206452,0,0,0,0,0.133247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.290724,0,0,0,0,-0.234487,0,0,0,0,0,0,0,0,0,-1,-0.324613,0,0,0,0,0,0,0,0.180347,0,0,0,0,0.211005,0,0,0,0,-0.231154,0,0,-0.312602,0,0,0,0,0,0.185412,0,0,0,0,0,0,0,0,0.245471,0,0,0,0,0,0,0.133545,0,0,0,0,0.149162,0,0,0,0.18457,0,0,0,0
"TF44",0,0.150621,0,0,0.254438,0,0,0,0,0,0,0,-0.14442,0,0.223488,-0.236145,0,0.194411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253815,0,0,0,0,0.147296,-1,0,0,0,-0.333211,0,0,0,0,0,0,-0.142049,0,0,0.137185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167974,0,0,0,0,0,0,-0.279797,0.140028,0,0,0,0,0,0,0,0,0,0.231638,0,0,0,0,0,0,0,0,-0.231099
"TF45",0,0,0,0,0,0,0,0,0,0.157159,0,0,0,0,0.240286,0,0,0,0,0,0,0,0,-0.188758,0,0,0,0,0,0,0,0,0.13931,-0.223091,0,0,0,0,0,0,0,0,-0.147788,-0.184945,-1,0,0,0,0,0,0,0,0,0,0,-0.146126,-0.124413,0,0,0,0,0,0,0.164128,0,0,0,0,0,0,0,0,0,0,0,0,0.227286,0,0,0,0,0,-0.251127,0,0,0,0,0,-0.167579,0,0,0,0,0,0,0,0,0,0,0
"TF46",0,0,0,-0.181653,0,0,0,0,0,0,-0.155408,0,0.143808,0,0,-0.21946,0,0,0,0,0,0,0,0,0,0.131462,0,0,0,0,0,0,0,0,0,0,0,0,0.19599,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302885,0,0.284556,0.12563,-0.217758,0,0,0,0.288625,0,0,0,0,0,0,0,0,0,0,0,0,-0.116974,0,0,0,0,0,0,0,0,0.37415,0,0,0,0,0
"TF47",0.152061,0,0,0.232551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14318,0,0,0,0,-0.22917,-0.214831,0,0,0,0,0,0,0,0,0,0,0,0.232633,0,0,0,0,0,0,0,0,0,-1,0.137053,0,0,0,0,0,0,0,-0.144012,0,0,0,0,0,0,0.173148,0,0,0,0,0,0,0,0,0,0,0,0.245767,0,0,0,0,0.23854,0,0,0,0,0,0,-0.237827,0,0.154438,0,0,0,0,0,0,0,0.318425,0,0,0
"TF48",0,0,0,0,0,0,0,0,0,0.170461,0,-0.203517,0,0,0,0,-0.13179,0,0,-0.198115,0,-0.314624,-0.128768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232836,0,0,0,0,0,-1,0,0,-0.205769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181693,0,0,0,0.152138,0,0,0.197852,0,-0.116268,0,0,0,0,0,-0.141519,0,0,0,0,0,0,0,0,0,0.123224,0,0,0,0,0,0
"TF49",0,0,-0.170948,0,0,-0.207611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301262,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.125069,0,-0.321436,0,0.182631,0,0,0,0.288934,-0.23867,0,0,0,0,-0.168532,0,0,-0.125334,0,-0.11766,0,-0.158606,0,0,0,0,0,0,0,0.121066,0,0,0,0,0,0,0,0,0,0.308524,0,0,0,-0.254629,0,0,0,0
"TF50",0,0,0,0.243381,0,0,0,0,0,0,0,0,0,0,-0.152842,0,0,-0.285395,0,0,0,0,0,0,0,0,0,-0.130076,0,0,-0.131762,0,0,0,0,0,0,0,-0.355948,0,0,0,0.171762,0.197023,0,0,0,0,0,-1,0,0,0,0,0,0.130802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161079,0,0,0,0,0,0,0,-0.20827,0,0,0,0,0,0,0,0,0,0,0,0.21888,0,0,-0.24791
"TF51",0,0,-0.127084,0,0,0,0,0,0,0,0,0.164963,0,0.146293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195521,0,0,0,0,0.288399,0,0,0,0,0,0,0.184861,-0.207586,0,0,0,0,0,-1,0,0,0,0,0.22067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20562,-0.209715,0,0.237486,0,0,0,0,0,0,0,0,0,0.162957,0,0,0.250998,0,-0.149202,0,0,0,0.179735,0
