"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30"
"TF11",0,0,0,0,-0.142965,0,0,0.10879,-0.128661,0,-1,0,0.110641,0.133576,0,0,-0.139653,0,0,-0.128472,-0.179914,0,0.127017,0,0,-0.242971,0,0,0.138308,0
"TF12",0,-0.175738,0.326751,-0.194575,-0.125902,0.119921,0.271246,0,0.161302,0,0.139502,-1,-0.268689,0.230443,0.317124,-0.126427,0,-0.122052,0.185956,-0.227907,0,0,0,0,0.133359,0,0,0,0,0
"TF13",0,0,0,0,-0.197985,0,-0.189207,-0.141426,0.290306,0.215866,0,0,-1,0,0,0.190915,0.246871,0.14898,-0.13998,0,0.221721,0,0,0,0,0,0,0.116738,0,-0.168378
"TF14",0,-0.120388,0.205306,0,0,0,0,-0.127143,0,0,0.128036,0,0.148355,-1,0,0.18408,0.21665,0.148383,0,0.138853,0,0.120876,0,0,-0.164015,0.119891,0,0,-0.261304,0
"TF15",0,-0.197907,0.148317,0,0,0,0,-0.170119,0,0,0,0,-0.202023,0,-1,0,0,-0.273028,-0.184244,0,-0.237336,0,-0.323254,0,0,0,-0.218087,0.11692,0,0.142759
"TF16",0.114757,-0.288457,0,0,0,0,0.186687,0.286855,0,0.320602,0,-0.158708,0,0,-0.404883,-1,0,0,0,-0.183908,-0.142945,0,0,-0.196675,0,0,0,0,0.171752,0.205656
"TF17",-0.196173,0,0,0.202194,0,0,0.154588,0.15105,0,0,0.10555,0.134786,0,-0.227142,0.265128,-0.187287,-1,0,0,0,0.17955,-0.133575,0.144429,0,0.118321,0,0.215441,0,0,0
"TF18",-0.206314,0,0,0,-0.193133,-0.165898,0.15427,0.418887,0,0.128164,0,0.129218,0,0,0,0,-0.107529,-1,-0.152563,0.158731,0,-0.293583,0,0,-0.312102,0.226202,0,0.122103,0,0
"TF19",0,-0.132014,0,0.251652,0,0,-0.259683,0,0,0,0,0,0,0,0,-0.168934,-0.160836,0,-1,0,0,-0.137182,-0.209748,0.219614,0,0.192188,0,0.344483,0.126359,0
"TF20",0.166752,0,0.152296,0,0,0,0,0,0,-0.122494,-0.146203,0,0.230159,-0.197005,-0.111648,0,-0.214997,0.311413,0.109611,-1,-0.249952,0,0,0,0,-0.187629,0,0,0,-0.181707
"TF21",0,-0.127712,-0.159731,0,0,-0.201115,0,-0.164929,0,0.184778,0,0.129124,0.192468,0,0,0,0,0.156138,-0.114288,0.276266,-1,-0.194069,0,0.204519,0.150027,0,0,0.155806,0,0
"TF22",-0.227802,0.171374,-0.155647,0,0,0.151263,0,0,0.189091,0,0.136299,0.121826,-0.246085,0,0,0.154845,0,0,0,0.152479,-0.267279,-1,-0.131728,0,0,0,0,0.210235,0.177975,-0.201977
"TF23",0,0,0,0,0,0,0.178395,-0.184439,0,0.217455,0,0.148437,0.12005,-0.125173,0.247183,0,0,0,0,-0.124179,0.228761,0.204849,-1,0,0,0,0.306551,-0.222791,0.159816,0
"TF24",0.116073,0.142782,0,-0.29995,0,-0.107249,0,0,0.105962,0,0,0,0,0.218041,0,0,0,0,0,0.313553,0,0,0,-1,0,0,0.118803,0.20588,0.323666,-0.140862
"TF25",0,-0.214141,-0.136871,0,0,0,0,-0.171732,-0.114569,0,0.165691,0,0.122523,0.262626,0.162922,0.156444,0,0,0.185636,0,0.159698,0,0,0,-1,0.111007,-0.193852,0,0,0
"TF26",0,0,-0.235232,-0.16661,-0.168631,0,-0.269547,-0.165692,-0.250857,0,0,0,0,0,-0.163752,0,-0.185758,-0.158249,-0.259208,0,0,0,0.125893,-0.176737,-0.274191,-1,0,-0.190252,0,0
"TF27",0.189249,0.143439,0.144415,0,0,0,0.204727,0,0.323057,0,0.215214,0,-0.31198,-0.252853,0,0,0.141309,-0.146766,0.137932,0.218518,0,0,0,0.121825,0,0,-1,-0.206842,-0.330414,0
"TF28",-0.131297,0,-0.244329,0.244996,0,0,-0.178119,0,-0.151889,0,0.377009,-0.358716,-0.189788,0,0,0,0,0.325417,0,0,0,0,0,0,0,0.183291,0.161295,-1,0,-0.258603
"TF29",0.143097,-0.153852,0,0,-0.20294,0.151113,0,0,0,0,0,0,0,0,0,0,0,0,0.145342,0,0.107435,0.189062,0.151523,0,0,0,-0.240433,0,-1,0
"TF30",0,0.159468,0,0.24352,0,0.261054,0,0,-0.246708,-0.213471,0,-0.201054,0,0,0.124936,-0.17909,0,0,-0.127921,0,0,0.324012,-0.2161,0,0.150848,0,-0.158041,0,0,-1
