"TF1","TF2","TF3","TF4","TF5","TF6","TF7","TF8","TF9","TF10","TF11","TF12","TF13","TF14","TF15","TF16","TF17","TF18","TF19","TF20","TF21","TF22","TF23","TF24","TF25","TF26","TF27","TF28","TF29","TF30","TF31","TF32","TF33","TF34","TF35","TF36","TF37","TF38","TF39","TF40","TF41","TF42","TF43","TF44","TF45","TF46","TF47","TF48","TF49","TF50","TF51","TF52","TF53","TF54","TF55","TF56","TF57","TF58","TF59","TF60","TF61","TF62","TF63","TF64","TF65","TF66","TF67","TF68","TF69","TF70","TF71","TF72","TF73","TF74","TF75","TF76","TF77","TF78","TF79","TF80","TF81","TF82","TF83","TF84","TF85","TF86","TF87","TF88","TF89","TF90","TF91","TF92","TF93","TF94","TF95","TF96","TF97","TF98","TF99","TF100"
"TF11",0,0,0,-0.15683,0,0,-0.106127,-0.153823,0,0,-1,0,0,-0.274589,0,0,0,0,0.158705,0,0.097758,0,0,0.0796431,0,0,0,0,-0.201856,0,0.22691,0.0940008,-0.0887995,0,-0.121528,0.245466,-0.130647,0,0,0,0,0,0,0,0,0,-0.169283,0,-0.0969531,0,0,0,0,0,-0.107666,0,0,-0.208664,0,0,0,0,0,-0.107984,0,0,0,0,0,0.0877871,0,0,0,0,0,-0.128546,0,0,-0.31226,0,0,0,0.139472,0,0,0,0,0,0,-0.21325,-0.102917,0,0,0,0.175442,0.179129,0,-0.172993,0,-0.0780018
"TF12",0,0,0.129551,-0.253496,0,0.148928,0,0,-0.0958593,0,0,-1,-0.120078,-0.104212,0,0,0,0,0,0,0.0905399,0,0,0,0,0,0,0,0,0,0,0.0930219,-0.15866,0.13592,0,-0.107122,0,0,-0.120752,0,0,-0.117391,0,0,0,0,0,0,-0.106,0,0,0,0,0,0,0,0,-0.132691,0,0,0,0.202855,0,0.0805097,0,-0.151753,0,0,0.105325,0,0,-0.0815552,-0.0830312,0.225397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146868,0,0,0,0,0,0,0,-0.142634,0,0,-0.103563,0
"TF13",0,0,0,-0.232304,0,0.0794389,0.0919539,-0.159668,0,0.176691,0,0,-1,0,0,0,0,0.126806,0,0,0,0,0,0.0891605,0,0.228225,0,-0.254762,0,0.10537,-0.148534,0,0,0,0,0,0,0.139161,0,0,0,0,0,0,-0.137888,0,0,-0.102375,0,0,0,0.148459,0,-0.152575,0.12698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828943,0,-0.204874,0,-0.10881,0,0.168248,0,0,0.156917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812568,0,0,-0.13097,0,0,0
"TF14",-0.156653,-0.0998519,-0.169193,0,0.172592,0,0,0,0,0,-0.116432,0,0,-1,0,0,0,0,0,0,0,0.192227,0,-0.0794009,0,-0.112477,-0.108331,0,0,0,0,0,0,0,0,0,0,-0.0988652,0.142894,0,-0.0927201,0,0,0,-0.169698,-0.180815,0,0,-0.176789,0,0.115959,0,0,0,0,0,0,0,0,0.276687,0,0.129388,0,0,0,0,0,0,0,0.10807,0,0,0,0,0,-0.187237,0,0,0,0,0,0,0,-0.0862795,-0.135171,0,-0.0983881,0,0,0,0,0.0801688,0.168906,-0.126217,0,0,0,0,-0.0987508,0
"TF15",0,0,0,0,0,0,0.16571,0,-0.216028,0,0,0,0,0,-1,-0.195292,0,0,-0.187501,-0.128054,0.246157,0,-0.133893,0,0,0.0962062,0,0,0.171306,0,0.14426,-0.17602,0,0.152364,0,0.0964041,0,0.0829264,0,0.102446,0,0,0,0,0,0,0,0.123476,0,-0.192706,0,-0.223752,0,0,0,0,0,0,0,-0.161947,0,-0.104312,-0.165948,0,0,-0.0965983,0,0,0,-0.179507,-0.104131,0,-0.149689,0,0.13655,0.0993971,0,0,0,0,0,0,0,0,0,0,0,0,0.143252,0,0,0,0,0,0,0,0,0,0,0
"TF16",-0.121673,-0.118355,0,0.202202,0,0,0,0.164253,0,0,0,0.0849288,0,0,0,-1,-0.135227,0,0,0,0,0,0,0,0.0848302,0,-0.148007,0,0.131484,0,0,0,0,0.186066,-0.228122,0,0.1801,0,0,0,0,0,0,0.0976348,0,0,0,0.129304,0,0,0,0,0,-0.108804,0,-0.0910018,0,0,0,0,0,0,0,0,-0.149004,0,-0.0813893,-0.107532,0,0,0,0,0.164116,0,0,0,0,0,-0.251522,0,0,0.151776,-0.0941095,0,0,0,-0.177034,0,0.137327,0.201025,0.223256,0,0,0,0,0,0,0,0.127213,0
"TF17",0,-0.102775,0,0,0,0,0,0,0,0,0,0,0,0,0.0797237,0.0940859,-1,0,0,0,0,0,0.123251,-0.0990768,0,0.20227,-0.101514,0,0,0,0,-0.189661,-0.12233,-0.191998,0,0,0,0,0,0,-0.219771,0,0,0,0,0,0,0,-0.0800199,0,0,0.129446,0,0,-0.122482,0,0,0,0,0,-0.179034,0.104947,0,0,0,0,0,0,0,0,0,-0.245316,0,-0.201141,0,-0.0962243,0,0,0.125763,0,0,0,0.0939765,-0.106466,0,-0.123264,0,0.0868051,0,0,-0.115468,0,0,0,0,0.209761,0,0,0,0
"TF18",0,0,0,0,0,0,0,0,-0.196402,0,0,0,0,0,0,0,0,-1,0,0,0.116712,0,0,0,0,-0.124582,-0.0988221,0,0,0,0,0.115943,0,0,0,0.116132,-0.0828412,0,0,0,0,0,0.167913,0.203934,0,0,0,0,0.0963939,0,0.127466,0,0,0,0,0,0,0,-0.159979,0,0,0,0.0830859,0.132937,0,0,0,0,0.116431,0,0,0,0,0,0.134647,0,-0.111352,0,0,-0.205149,0,0,0,-0.11591,-0.134698,0,0.0925313,0,0,0,0,0.104811,0,0,0.188194,-0.0821932,0,0,0,0.19106
"TF19",0,0,-0.100547,-0.189311,0,0,0,0,0.2656,0,0,0,0,0,0,0,0,0.122547,-1,0,0,0,-0.201622,0,0.0792828,0,0,0,-0.147818,0,0,0,-0.0818486,0,0,-0.199353,0.14968,0,0,0.163397,-0.135452,0,0,0,0,-0.0967236,0,0,0,0,0,0,0,0.243872,0,0,0,-0.101961,0,0,0,-0.127207,0,-0.130932,0,0,0,0,-0.257131,0,0,0,0.158681,0,0,0,-0.0861381,-0.0867012,0,0,0,-0.0907904,0,0,0,0,0,0,0.153938,0,0,0,0,0,0.173635,0,0,0,0,0
"TF20",0,0,0,-0.214005,-0.0872122,0,0,0,0,0,0,0,0,0,0.0919836,-0.161965,0,0,0.0873084,-1,0,-0.0853352,0,0,0,0,0,0,0.114983,0,-0.133546,0,0,0.163474,0,0,0,-0.087482,0,-0.11714,0,0,0,0,0,0,0,0.117244,0,-0.234806,0,0.140476,-0.141736,0,0,0,0,0,-0.134785,0,0,0,0,0,0,-0.090456,-0.11405,0,0,0,0,0,0,0,0.231383,-0.0812915,-0.161291,-0.276286,0,0,0,0,-0.120811,0,0,0,0,0,0,0,-0.11152,0.161394,0,0,0,0,0,-0.217268,0,0.113323
"TF21",0.172362,-0.128516,0,0.107258,0,-0.0788059,-0.107223,0,0,-0.201352,0.196059,0,0,0.0984856,0,0,0.105059,0,0,-0.103789,-1,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,-0.0960813,0,0,-0.212721,0.150743,0,-0.126102,0,0,0,0,0,0,0,0,0,0,0,0,0.0913605,0,0.10984,0,0,0,0,0,0,0,0,0,0,-0.115912,0,0.176598,0,0.156831,0,0,0.102797,0,0,0,0,0.0842244,0.234041,0,0,0,0,0,-0.133634,0,0,-0.115011,0,0,0,0,0,0,0,0,0,0
"TF22",0,-0.0792993,0,0,0,-0.187884,0,0.085313,-0.0938131,0.139162,-0.0778311,0.204259,-0.0871691,-0.291163,0.0864055,0,0,-0.17936,0,0,0,-1,0,0.0922673,0,0,0,0,0,0,0,0,0,0,0.0956861,0.11555,-0.0806319,0.208052,0.0864274,0,0,0,0,0,0,0,0,0,0,0,0,0.107244,0,0.113282,0,0,0,0,-0.0972374,0,0,0,0,0,0,0,0,0,-0.172914,0,0,0,0,0,0,-0.0818701,0,0,0.298531,0,0,0,-0.122163,0,0,0,0,0,0,0,0,-0.11143,0,-0.143863,-0.103675,0,0,0.103714,0,0
"TF23",0.129458,0,0,-0.162992,0,-0.0949813,0,0,0,0,0,0,0.171885,0,0,0,0,0,0,0,0.118238,0,-1,0,0,0,0,0,0,0,0,0,0.105229,0,0,0,0,0,0,-0.105171,-0.12389,-0.119133,0.247796,0.114325,0,0,0,0,-0.105415,0.11621,0,0,0,0.19064,0,0,0,0,-0.113542,0.0841253,0,0,0,-0.138058,0,0,0,0,0,-0.200185,0.214111,0,0,0,0.131576,0,0,0,0,0,0,-0.0865025,0,0,0,0.0960382,0,0.104989,0,0.241284,0,0,0,0,0,-0.103028,0,0.124362,0,0
"TF24",0,0,-0.1262,0,0,-0.126871,0,0,0.0952824,0,0,0.113573,0,0,0,0,0,-0.213029,0,0,0,0,-0.117724,-1,0,0,0,0.113327,0,0,0,0,0,-0.150967,0,0,0,0,0,0.181499,-0.148919,0,0,0,0,0,0,0,-0.13691,-0.113931,0,0,0,0.321201,0,0,-0.242353,0,0,0,0,0,0,0.175573,0,0,0,-0.103884,-0.227638,0,0.1058,0,0,0,0,0.162073,-0.333311,0,0,-0.146,0,0,0.121524,-0.0788282,0,0,0.155206,0,-0.157739,0.0823752,0,0,0.129499,-0.0887215,0,0.175603,0,0,0,0
"TF25",0,0.284044,0,0,0,0,0,0,0,0.0994028,0,-0.0952946,0,0,-0.137129,0.150971,0.0904857,0,0,0,0,-0.0976036,0,0,-1,0,0,0,0,0.121195,-0.0857378,0.165256,0,0,0,0,0.195518,0.182357,0,0,0,0,0,0,0,0,0.118953,0,0,0.128003,0,0,0,-0.134466,0,0.139195,0,0,0.272192,0,0,-0.176613,-0.251506,-0.122136,0,0,0,0,0,0,-0.114303,0,0,0,0,0,0.0915389,0.108834,0,0,0,0,-0.130031,0,0,0,0.138508,0,0,0,-0.0786834,0.0855969,0,0,0,0,0,0,0,0
"TF26",0,0,0,0,0,0,0,0,0,0.0963915,0,0,-0.147391,0,0,0,0.133171,0,0,0,-0.122294,0,0,0,0,-1,0.122504,0.165041,0,0,0.121621,-0.102723,0,0.181408,0,-0.124685,0,-0.119045,0,0,0,0,-0.113228,-0.0853333,0,0,-0.125142,0,-0.0878714,0,0,0,0,-0.143832,0.102511,0,0,0,0.140821,0,0,0,0,0,0.165972,0,-0.10018,0.152097,0,0,0,0.163135,0,0.123854,0,0,0,0,0,0,0.10131,0.105711,0,0,0,0,-0.159699,0,0,0,0,0.16213,0,0,0,0.0780465,0.103517,0,0,0
"TF27",0,-0.0918943,0,0,0,0,0.109498,0,0,-0.103392,0,0,-0.105329,-0.162072,0,0,0,-0.231539,0.162671,0.146874,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159956,0.308127,0,0.176736,0,0,0,0,0.145428,-0.0844861,0.0847458,0,0,-0.0865274,0,0,0,0,0,0,0.207829,0,-0.135541,0,0,-0.276085,0,0,0,0,0,0,0.218399,0,0,0,0.154721,0,0,0,-0.210475,0,0,-0.153186,0,0,-0.122006,0,0.124545,0,0,-0.0990443,-0.176574,-0.173296,0.189561,0,0,0,0
"TF28",0.0957506,0,0.127315,0,0,0,0,0.11006,0,0,0,0,0,0,0,0,0,0,-0.100093,-0.144903,-0.137365,-0.0898303,0,0.112463,0,0,0,-1,0,0,0,0,0,-0.113247,0,0,0,-0.150913,0,0,-0.125414,0,0,0,0,-0.103716,0,0,0,0,0,0.227621,0,0.088727,0,0,0,0,0,0,0,0,0,0,0,0.115889,0,0.218413,0,0,0,0.162491,0,-0.0845413,0,-0.095378,0,0.118457,0,0,0.207037,0,0,-0.204457,0,0,-0.130767,0,-0.290949,0,-0.153957,0,0,0,-0.0849869,0.0843475,0,0,0,0
"TF29",0,0,0,0,0,0.127243,0,-0.133162,0,-0.0817326,0,0.170439,0.155989,0,0.221231,0,0,0.214863,0,0,-0.0799335,0,0,0,0,0,0.207397,-0.201538,-1,0.220497,0,-0.0943375,0,0,0,0,0,0.174931,0,0,0,0,-0.154613,0.163288,0.111088,0.0778233,0,0,0.185575,-0.156242,0,0,0,0,0,0.169751,0,0,0.197567,0,0,0,0,0,0,0,0,0,0,0,-0.11628,0,0.090284,0,0.171334,0,-0.297118,0,0,0,0,0,0,0,0,0,0,0,0,0.0896617,0,0,0.110157,0,0,-0.18378,0,0,-0.113441,0.131043
"TF30",0,0,0,0,0,0,0,0.137861,0,0.191129,0,0,-0.161382,0,0,0,0,0,0,0,-0.157971,0,0.115261,0.169686,0,-0.174014,-0.105303,0,0,-1,0,0,0,0.112503,0,0,-0.131252,-0.159785,0.104439,0.0884026,0,0.120092,0,0,0,0.180349,0,0,-0.115948,0,0,0,0,-0.0832471,0,0,0.152654,-0.233933,0,-0.127063,0,0,0,0,0,-0.146928,0,-0.164719,0,0,0,-0.21087,0.118636,0,0,0,-0.126426,0,0,0,0,0,-0.135535,0,0,-0.148532,0,0,0,0,0,0,0,0,0.173028,0,0,0,0,0
"TF31",0,0,0.103249,-0.207141,0,0.0914145,0,0,0,0,0,0,0,0,0,0,0,0.080567,0.0903355,0.106196,0.215413,0,0.0852801,0,0,0,0,0,0,0,-1,0.109619,-0.164264,0.165494,0.0908547,0,-0.174456,0,0,-0.15299,0,0,0,0,0.123757,0,0,0.123,0,0,-0.135059,0,0,0,0,0,0,0,0,0,-0.10144,0,0,0,0,0,-0.158246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151853,0,0,0.0936586,-0.116042,0,0.146453,0,0,0,0,0.121468,0,0.112023,0,0
"TF32",0,0,0,0,0,0,0,0,0.146244,0,0,0.241805,0,0.0931024,0,0.123297,0,-0.177018,0,0,0.0866132,0,0.143359,-0.0976695,-0.0931488,0,0,0,0,0,0,-1,-0.0992697,0,0,0,-0.0793053,-0.0803848,0.115723,0,0,0,0,0,0,0.140497,0,0,0,0,0,0,-0.170255,0,0,0,0,0,0,0,0,0,-0.0876421,0,0,0,0,0.104692,-0.0850256,0,0,-0.0974087,0,0,0,0,0,0,-0.110339,0,-0.115943,0,0,0,0,0,-0.12944,0,-0.18749,0.185397,0,0,0.0862603,0,0,0,0.098113,0.148387,0,0
"TF33",0,0.230462,-0.121316,0,0,0,0,0,0,0,-0.27593,0,0,-0.154611,0,0,0,0,0,0,-0.107347,0,-0.179051,0,0,-0.129789,0,0,-0.0996266,0.23603,0,0.17332,-1,0,0,0,0,0,0,0,0,0,0,-0.145934,0,0,0,0,0,0,0.0954704,0,0,0,0,0,0.138365,0,-0.133346,0,0,0,-0.175461,-0.125199,0,-0.08446,0,0.106668,0,0,0,0,0,-0.151893,0,0,0,0,-0.139471,0.101268,0,0,0,0.113533,0,0,0,0,0,0,0,-0.128082,-0.164038,0,0,-0.215968,0.125075,0,0,0
"TF34",0,0.125157,0.132372,0,0,0,0,0,0,-0.145491,0,0,0,-0.102528,0,0,0,0.0895603,0,-0.324034,-0.197825,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.127014,0.144521,0,0,0.171856,0.109298,0.0810694,0,0.206621,0,-0.113845,0,-0.116484,-0.197788,0,0,0.0980765,0.133155,0,-0.181435,0,0,0,0,0.12721,0.120771,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831432,0,-0.156962,0,0,0,-0.126581,0,0.102985,0,-0.101147,0,0,0,0,0,0,0,0,0,0.100337,0,0.113152,0,0,0
"TF35",0.0794363,0,0,0,0,0,0,0,0,0,0,0,0,-0.113012,0,0,0,0.140626,0,0,0,0,-0.134812,0,0,0,0,-0.111596,0,0,0,0,-0.12001,0,-1,0.145604,0,0.194658,0,0,0,0,0.14848,0,-0.26158,-0.0929375,0,0,0,0,0,0,0,0.186265,-0.0774864,0,0,-0.195197,0,0,-0.20493,0,0,0,0,0,0,0,0,0,0.0892222,0,0,-0.112763,0,0,0,0,0,-0.111301,0,-0.178031,0,0,-0.0836379,0,0,0,0,0,0,0,0,0,0.103539,0,0.136329,-0.104185,0,0
"TF36",0,0,0.178965,0,0,-0.108354,0,0,0,0,0,0,0,0,-0.117159,-0.153861,0.271176,0,0,0,-0.176593,0,0,-0.085345,0.0797134,0,0,0,0,0,0.11674,0,0,-0.125842,0,-1,0,-0.119487,0,-0.0799848,0,0,0,0,0,0.0960438,-0.169024,0,0.153014,0,0,0,0,0,0.180571,-0.102861,0,0,0,0,0,0,0,0,-0.0941343,0,0.125603,0,-0.116504,0,0,0,0,0,0,0,0,0,0.0801232,0,0.199011,0,0,0,0,0,0,0,0,0,0,0,0,-0.147938,0,0,0,0.0971667,-0.0853887,0
"TF37",0,0,0,-0.0973273,0,0,0,0.167638,0,-0.139904,0.0775503,-0.181132,0,0.0934341,0,0,0,0,0,0,-0.207301,0,0,0,0,0,0,0,0.107506,0,0,0,0,0.232273,0,-0.199157,-1,0,0,0.106577,0,0,0,0,0,0.0978748,0,0,0,0,0,-0.148283,0,0,0,0,0,0,0,0,0,0,0,0.086278,-0.110332,0,0,0.12637,0,0,0,0.138703,0,0,0.0897416,0,0,-0.0993353,0,-0.104245,0,-0.0864098,0,0.158145,-0.0908403,0,0,-0.113715,0,0,0,0,0,0,-0.132884,0,0,-0.124245,0,0
"TF38",0,0,0,0.0913898,-0.122738,-0.139859,0,0.239419,0,0,0,0,0.224246,0,0,-0.14257,0,0.169596,0,0,0,0,-0.0804824,0.184936,-0.139069,0,-0.265719,0,0,0,0,0,0,0.143338,0,0,0.102216,-1,-0.0836754,0.314052,0,0,0,0,0.108987,0.168851,0,0,0,0,0,0,0,0,0,0,0.211837,0,0,0.109161,0,0,0.113848,0,0.161362,0,0,0,0,0.102191,0,0,0,0,0,0,0,0,0,0,-0.113506,0,0,0,0,0,0,0,0,0,0,-0.0967725,0,0,0,0,0,-0.116116,-0.223371,-0.0814215
"TF39",0,0.141562,0.0940811,0,0,-0.112084,-0.147185,0,0,0,0,0,-0.0930828,0,0,0.141795,-0.175951,0,0,0,-0.0973377,0,0,0.0977772,-0.144832,0,0,-0.124651,0,0,0,0,0.181441,0,0,0,0,0,-1,0,0,0,0,0,0,-0.096393,0.119568,0,-0.134349,0,0.174649,0,0,0,-0.169632,0,0,0,-0.080078,0,0,0,0,0,-0.0962268,0,0,0,0,0,0,0,0,0,0,0,-0.0984809,0,0,0,0,0,0,0,0,0,-0.120592,-0.107008,0,0,-0.166375,0,0,0.139814,0,-0.12705,-0.187658,0,0,0
"TF40",-0.172988,0,0,0,0,0,0,-0.132731,0,0,-0.0907105,0,0,0,0,0.101463,0,0,0.115628,0,0,-0.0960934,0.107217,0,0,0,0,0,0,0,0,-0.0931605,0,-0.0994446,-0.140962,0,-0.147642,0,0,-1,0,0,0,0,0,0,0,0,0.117211,0,0,0,0,0,0,0,-0.0816504,0,0.101363,0,0,0,0.155464,0,0.127758,0,-0.0871418,-0.116498,-0.122284,-0.0951744,0,0.204333,-0.136576,0,0,0,0,0,0,0,0,0,0,-0.144465,-0.0963975,0,0,0,0,-0.175891,0,0,0.101341,0,0,0,0,0.123522,0,0
"TF41",0.182156,-0.118185,0.21585,0,0.142663,0.178289,0,0,0,0,0.171719,-0.0982022,0,0,-0.0865965,0,0,0,0,-0.103953,0,0,0,0,0,-0.188788,0,0,0,0,0,0,0,0,0.103839,0.0830806,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126634,0,0.0905799,-0.127134,0,0,0,0,-0.225949,0,-0.0948605,0,0,0,0,0,0,0,0,0,0,0.122989,0.153817,0,0,0,0,-0.0865685,0.086861,0,0.110711,-0.144393,0,0,0.0917854,-0.102525,0,0,-0.264515,0,0,0,-0.126047
"TF42",0,-0.124752,0,-0.166867,0.0874344,0,0,0,0,-0.0981031,0,0,0.179356,0,0,0.159269,0,0,-0.10596,0,0,0,0,0,0,0,-0.194322,0,0,-0.102338,-0.106485,0,0,0,0,0,0,0,0,0,0,-1,0,-0.191642,0,0.137474,0,0,0,0,0,0,0.0894405,0,0,0,0,-0.135651,0,0,0,0,0,0,0,0,0,0.165666,0.173449,0,0,0,0.113997,0,0,0,0,0,-0.188439,0.0783848,0,0,-0.123828,-0.193657,0,0,0.173954,0,0,0,0,0.145475,0,-0.231416,0,0.0890272,0.0832824,-0.123374,0,0
"TF43",0.230617,0,0,0,0,0,0,0.154201,0,0.275451,-0.0879668,-0.155887,0,0,0,0,0.171649,0.148541,-0.174005,0.125584,0,-0.0833203,-0.138637,-0.109309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12275,-0.126539,-1,0.136472,0,0,0,0.139888,0,0,-0.0808577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172359,0.16246,0.243338,0,0,0,0.0954658,0,0,0,0,0,0,0,0,0,0,-0.0876948,0,0,0.123506,0,0.129319,0,0.0944413,0,0,0,0,0,0,0.196384,0,0,0,0
